1001,9304045
1001,9308122
1001,9309097
1001,9311042
1001,9401139
1001,9404151
1001,9407087
1001,9408099
1001,9501030
1001,9503124
1001,9504090
1001,9504145
1001,9505025
1001,9505054
1001,9505105
1001,9505162
1001,9506048
1001,9506112
1001,9506144
1001,9507050
1001,9507158
1001,9508094
1001,9508155
1001,9510142
1001,9510225
1001,9510234
1001,9511030
1001,9511171
1001,9601108
1001,9602022
1001,9602114
1001,9603003
1001,9603150
1001,9603161
1001,9603167
1001,9605184
1001,9605222
1001,9606017
1001,9606040
1001,9607163
1001,9607207
1001,9608086
1001,9609070
1001,9609071
1001,9609239
1001,9611137
1001,9612108
1001,9701162
1001,9702094
1001,9702155
1001,9702198
1001,9703082
1001,9703166
1001,9704097
1001,9705030
1001,9705044
1001,9705104
1001,9705220
1001,9706005
1001,9707014
1001,9707042
1001,9707049
1001,9710230
1001,9711036
1001,9711104
1001,9712028
1001,9712042
1001,9802194
1001,9805056
1001,9805206
1001,9806094
1001,9810188
1001,9811217
1001,9905036
1001,9907041
1001,9908007
1001,9908144
1001,9909108
1001,9909120
1001,9909229
1001,9910238
1001,9910248
1001,9910268
9304045,9204040
9308122,9203084
9308122,9204035
9308122,9205041
9308122,9207049
9308122,9207111
9308122,9301042
9308122,9301043
9309097,9203084
9309097,9205041
9309097,9301042
9309097,9301043
9311042,9301042
9311042,9301043
9401139,9201015
9401139,9201040
9401139,9201047
9401139,9202046
9401139,9202059
9401139,9202092
9401139,9203008
9401139,9203031
9401139,9204035
9401139,9204037
9401139,9204040
9401139,9204046
9401139,9205046
9401139,9205060
9401139,9205062
9401139,9205068
9401139,9206023
9401139,9206051
9401139,9206078
